,ID,Nationality,Age,Position,Height,Weight
365,199434,Serbia,29,LAM,155.7528,76.19047619047619
366,199042,Chile,29,LDM,173.73600000000002,69.84126984126983
367,196889,Italy,25,RW,173.73600000000002,60.77097505668934
368,195086,Croatia,28,RCB,188.976,83.90022675736961
369,193532,Chile,30,RCB,173.73600000000002,64.85260770975056
370,193348,Switzerland,26,CAM,173.73600000000002,72.10884353741497
371,193165,Mexico,25,RM,176.784,62.131519274376416
372,193105,France,25,GK,198.12,93.87755102040816
373,192641,Germany,26,CB,195.072,84.80725623582767
374,191740,Spain,28,CM,182.88,69.84126984126983
375,190972,Argentina,27,RW,176.784,77.09750566893423
376,190813,Italy,25,LM,155.44799999999998,72.10884353741497
377,189881,England,28,RCB,195.072,81.17913832199547
378,189362,Brazil,31,RCM,155.7528,84.80725623582767
379,189358,Japan,29,CAM,179.83200000000002,68.02721088435374
380,188988,Argentina,25,CAM,170.688,58.95691609977324
381,187491,Russia,28,ST,188.976,79.81859410430839
382,187072,Germany,29,CF,155.7528,79.81859410430839
383,185239,Turkey,28,CB,185.928,82.99319727891157
384,183900,Argentina,29,LW,155.44799999999998,69.84126984126983
385,182494,Uruguay,32,GK,192.024,73.92290249433107
386,179784,Germany,30,RCB,188.976,77.09750566893423
387,179645,Denmark,29,RCB,188.976,83.90022675736961
388,177458,Germany,29,LCB,185.928,79.81859410430839
389,177326,France,33,LM,170.688,63.038548752834465
390,175379,Spain,31,RM,182.88,73.01587301587301
391,173909,Ghana,31,CM,185.928,86.16780045351473
392,173771,Poland,33,RB,182.88,78.91156462585033
393,173221,Italy,31,RM,155.7528,69.84126984126983
394,172522,Denmark,29,RB,155.7528,73.92290249433107
395,170368,Argentina,26,RM,182.88,79.81859410430839
396,169595,England,27,LB,179.83200000000002,76.19047619047619
397,169416,Mexico,29,RW,155.44799999999998,77.09750566893423
398,169195,Brazil,30,LCM,185.928,86.16780045351473
399,167905,Ecuador,32,RM,155.7528,82.99319727891157
400,164835,Poland,33,GK,192.024,82.99319727891157
401,162347,Portugal,31,RCM,173.73600000000002,60.77097505668934
402,161956,Spain,33,CAM,179.83200000000002,73.01587301587301
403,159261,Italy,35,RS,155.7528,78.91156462585033
404,159145,France,32,ST,182.88,77.09750566893423
405,157960,Portugal,32,LM,179.83200000000002,74.82993197278911
406,156519,Mexico,28,CM,182.88,72.10884353741497
407,144622,Brazil,33,CF,179.83200000000002,68.93424036281179
408,139068,Portugal,31,LM,155.44799999999998,68.02721088435374
409,138412,England,32,CM,179.83200000000002,69.84126984126983
410,112316,France,34,LCB,188.976,83.90022675736961
411,45186,Spain,36,LS,155.44799999999998,74.82993197278911
412,239207,Uruguay,21,ST,185.928,83.90022675736961
413,235790,Germany,19,CAM,188.976,82.99319727891157
414,235569,France,21,CM,155.7528,76.19047619047619
415,234906,France,20,LM,179.83200000000002,69.84126984126983
416,234153,Spain,21,RM,155.7528,76.19047619047619
417,234035,Spain,22,RB,179.83200000000002,66.21315192743764
418,230977,Paraguay,24,CAM,179.83200000000002,63.038548752834465
419,230347,Brazil,30,LB,155.44799999999998,68.93424036281179
420,230234,Brazil,34,CDM,155.44799999999998,74.82993197278911
421,230142,Spain,21,CAM,155.7528,78.00453514739229
422,228229,Paraguay,26,RCB,188.976,84.80725623582767
423,227536,Mali,27,RS,185.928,82.99319727891157
424,226851,France,22,RB,185.928,76.19047619047619
425,226790,Nigeria,21,LDM,182.88,73.92290249433107
426,226753,Cameroon,22,GK,188.976,92.9705215419501
427,226226,Argentina,22,RCM,179.83200000000002,69.84126984126983
428,224334,Argentina,26,LB,176.784,68.93424036281179
429,224293,Portugal,21,LCM,155.7528,79.81859410430839
430,221639,Dominican Republic,24,ST,155.7528,76.19047619047619
431,221540,Brazil,28,CB,188.976,81.17913832199547
432,220477,Italy,24,CB,188.976,79.81859410430839
433,219985,Uruguay,26,LM,188.976,81.17913832199547
434,219809,France,23,LCM,188.976,84.80725623582767
435,218339,Germany,22,CM,155.44799999999998,68.02721088435374
436,216547,Portugal,25,RW,176.784,66.21315192743764
437,215785,Senegal,23,RM,155.7528,79.81859410430839
438,215316,Argentina,26,GK,188.976,83.90022675736961
439,214584,Argentina,31,GK,188.976,87.98185941043084
440,212692,Portugal,22,RM,179.83200000000002,68.02721088435374
441,212623,Spain,22,LS,155.7528,77.09750566893423
442,211748,Germany,24,RCM,182.88,72.10884353741497
443,211688,Spain,23,LB,176.784,66.21315192743764
444,211575,Portugal,24,LDM,188.976,83.90022675736961
445,211256,Argentina,25,LB,173.73600000000002,64.85260770975056
446,210896,France,23,RDM,155.7528,73.01587301587301
447,209960,Spain,26,GK,185.928,81.17913832199547
448,208333,Germany,24,CM,182.88,82.08616780045351
449,208128,Turkey,24,CAM,155.44799999999998,76.19047619047619
450,207862,Germany,24,RWB,188.976,82.99319727891157
451,207599,England,25,RCB,192.024,82.08616780045351
452,207439,Argentina,24,CM,155.7528,74.82993197278911
